front_squat | Sentadilla Frontal | axes=implement | front_squat__barbell; front_squat__smith_machine; front_squat__dumbbells; front_squat__kettlebell; front_squat__cable
high_bar_back_squat | Sentadilla Trasera con Barra Alta | axes=implement | high_bar_back_squat__barbell; high_bar_back_squat__smith_machine; high_bar_back_squat__safety_bar
low_bar_back_squat | Sentadilla Trasera con Barra Baja | axes=implement | low_bar_back_squat__barbell; low_bar_back_squat__smith_machine
quads_prensa_piernas | Prensa de Piernas | axes=laterality | quads_prensa_piernas__bilateral; quads_prensa_piernas__unilateral
quads_sentadilla_anderson | Sentadilla Anderson | axes= | quads_sentadilla_anderson__default
quads_sentadilla_anderson_frontal_barra_recta | Sentadilla Anderson Frontal | axes= | quads_sentadilla_anderson_frontal_barra_recta__default
quads_sentadilla_bazuca | Sentadilla Bazuca | axes= | quads_sentadilla_bazuca__default
quads_sentadilla_copa | Sentadilla Copa | axes= | quads_sentadilla_copa__default
quads_sentadilla_hack | Sentadilla Hack | axes=implement | quads_sentadilla_hack__machine; quads_sentadilla_hack__barbell; quads_sentadilla_hack__smith_machine
quads_sentadilla_hack_invertida_maquina | Sentadilla Invertida en Mßquina Hack | axes= | quads_sentadilla_hack_invertida_maquina__default
quads_sentadilla_somersault | Sentadilla Somersault | axes= | quads_sentadilla_somersault__default
quads_sentadilla_v_squat | Sentadilla en "V-Squat" | axes= | quads_sentadilla_v_squat__default
quads_sentadilla_v_squat_invertida_maquina | Sentadilla Invertida en Mßquina V-Squat | axes= | quads_sentadilla_v_squat_invertida_maquina__default
quads_sentadilla_zercher_barra_recta | Sentadilla Zercher con Barra Recta | axes= | quads_sentadilla_zercher_barra_recta__default
sumo_squat | Sentadilla Sumo | axes=implement | sumo_squat__barbell; sumo_squat__dumbbells; sumo_squat__kettlebell
belt_squat | Sentadilla "Belt Squat" | axes=laterality | belt_squat__bilateral; belt_squat__unilateral
pendulum_squat | Sentadilla en Mßquina Pendular | axes=laterality | pendulum_squat__bilateral; pendulum_squat__unilateral
sissy_squat | Sentadilla Sissy | axes=implement | sissy_squat__barbell; sissy_squat__machine; sissy_squat__smith_machine; sissy_squat__dumbbells; sissy_squat__plate
bulgarian_split_squat | Sentadilla B·lgara | axes=implement | bulgarian_split_squat__barbell; bulgarian_split_squat__smith_machine; bulgarian_split_squat__machine; bulgarian_split_squat__dumbbells; bulgarian_split_squat__cable; bulgarian_split_squat__kettlebell
bulgarian_zercher | Sentadilla B·lgara Zercher | axes= | bulgarian_zercher__barbell__zercher
