--------- beginning of main
09-15 22:55:10.008  5705  5705 I om.example.kpkn: Late-enabling -Xcheck:jni
09-15 22:55:10.048  5705  5705 I om.example.kpkn: Using CollectorTypeCMC GC.
09-15 22:55:10.050  5705  5705 W om.example.kpkn: Unexpected CPU variant for x86: x86_64.
09-15 22:55:10.050  5705  5705 W om.example.kpkn: Known variants: atom, sandybridge, silvermont, goldmont, goldmont-plus, goldmont-without-sha-xsaves, tremont, kabylake, alderlake, default
09-15 22:55:10.131  5705  5705 D nativeloader: Load libframework-connectivity-tiramisu-jni.so using APEX ns com_android_tethering for caller /apex/com.android.tethering/javalib/framework-connectivity-t.jar: ok
09-15 22:55:10.408  5705  5705 D ApplicationLoaders: Returning zygote-cached class loader: /system_ext/framework/androidx.window.extensions.jar
09-15 22:55:10.408  5705  5705 D ApplicationLoaders: Returning zygote-cached class loader: /system_ext/framework/androidx.window.sidecar.jar
09-15 22:55:11.685  5705  5705 D nativeloader: Configuring clns-9 for other apk /data/app/~~kfJjkr2sdA0KSUcxlHbTXQ==/com.example.kpkn-D8mMnj9b6ziyXsz0QrH5lw==/base.apk. target_sdk_version=35, uses_libraries=, library_path=/data/app/~~kfJjkr2sdA0KSUcxlHbTXQ==/com.example.kpkn-D8mMnj9b6ziyXsz0QrH5lw==/lib/x86_64:/data/app/~~kfJjkr2sdA0KSUcxlHbTXQ==/com.example.kpkn-D8mMnj9b6ziyXsz0QrH5lw==/base.apk!/lib/x86_64, permitted_path=/data:/mnt/expand:/data/user/0/com.example.kpkn
09-15 22:55:11.700  5705  5705 D CompatChangeReporter: Compat change id reported: 202956589; UID 10219; state: ENABLED
09-15 22:55:11.708  5705  5705 I om.example.kpkn: AssetManager2(0x71151800d758) locale list changing from [] to [en-US]
09-15 22:55:11.722  5705  5705 V GraphicsEnvironment: Currently set values for:
09-15 22:55:11.722  5705  5705 V GraphicsEnvironment:   angle_gl_driver_selection_pkgs=[]
09-15 22:55:11.722  5705  5705 V GraphicsEnvironment:   angle_gl_driver_selection_values=[]
09-15 22:55:11.722  5705  5705 V GraphicsEnvironment: com.example.kpkn is not listed in per-application setting
09-15 22:55:11.722  5705  5705 V GraphicsEnvironment: ANGLE allowlist from config: com.dreamgames.royalmatch com.dts.freefiremax com.dxx.firenow com.gramgames.mergedragons com.ludo.king com.mojang.minecraftpe com.my.defense com.nintendo.zaka com.os.airforce com.playrix.fishdomdd.gplay io.teslatech.callbreak jp.konami.prospia net.peakgames.toonblast
09-15 22:55:11.722  5705  5705 V GraphicsEnvironment: com.example.kpkn is not listed in ANGLE allowlist or settings, returning default
09-15 22:55:11.722  5705  5705 V GraphicsEnvironment: Neither updatable production driver nor prerelease driver is supported.
09-15 22:55:12.005  5705  5705 D CompatChangeReporter: Compat change id reported: 312399441; UID 10219; state: ENABLED
09-15 22:55:12.055  5705  5705 D CompatChangeReporter: Compat change id reported: 279646685; UID 10219; state: ENABLED
09-15 22:55:12.077  5705  5705 D WM-WrkMgrInitializer: Initializing WorkManager with default configuration.
09-15 22:55:12.681  5705  5725 E ashmem  : Pinning is deprecated since Android Q. Please use trim or other methods.
09-15 22:55:12.772  5705  5705 I om.example.kpkn: hiddenapi: Accessing hidden method Landroid/view/WindowManagerGlobal;->getInstance()Landroid/view/WindowManagerGlobal; (runtime_flags=0, domain=platform, api=unsupported) from Lcurtains/internal/WindowManagerSpy$windowManagerInstance$2; (domain=app) using reflection: allowed
09-15 22:55:12.774  5705  5705 I om.example.kpkn: hiddenapi: Accessing hidden field Landroid/view/WindowManagerGlobal;->mViews:Ljava/util/ArrayList; (runtime_flags=0, domain=platform, api=unsupported) from Lcurtains/internal/WindowManagerSpy$mViewsField$2; (domain=app) using reflection: allowed
09-15 22:55:12.777  5705  5705 I om.example.kpkn: hiddenapi: Accessing hidden field Landroid/app/ActivityThread;->mH:Landroid/app/ActivityThread$H; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher; (domain=app) using reflection: allowed
09-15 22:55:12.778  5705  5705 I om.example.kpkn: hiddenapi: Accessing hidden method Landroid/app/ActivityThread;->currentActivityThread()Landroid/app/ActivityThread; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher$activityThreadInstance$2; (domain=app) using reflection: allowed
09-15 22:55:12.778  5705  5705 I om.example.kpkn: hiddenapi: Accessing hidden field Landroid/os/Handler;->mCallback:Landroid/os/Handler$Callback; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher; (domain=app) using reflection: allowed
09-15 22:55:12.780  5705  5705 I om.example.kpkn: hiddenapi: Accessing hidden field Landroid/util/Singleton;->mInstance:Ljava/lang/Object; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher; (domain=app) using reflection: allowed
09-15 22:55:12.780  5705  5705 I om.example.kpkn: hiddenapi: Accessing hidden method Landroid/util/Singleton;->get()Ljava/lang/Object; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher; (domain=app) using reflection: allowed
09-15 22:55:12.780  5705  5705 I om.example.kpkn: hiddenapi: Accessing hidden field Landroid/app/ActivityManager;->IActivityManagerSingleton:Landroid/util/Singleton; (runtime_flags=0, domain=platform, api=unsupported) from Lleakcanary/ServiceWatcher; (domain=app) using reflection: allowed
09-15 22:55:13.243  5705  5705 I Choreographer: Skipped 69 frames!  The application may be doing too much work on its main thread.
--------- beginning of system
09-15 22:55:13.250  5705  5734 I DisplayManager: Choreographer implicitly registered for the refresh rate.
09-15 22:55:13.261  5705  5705 I om.example.kpkn: AssetManager2(0x71151800da78) locale list changing from [] to [en-US]
09-15 22:55:13.373  5705  5734 I EGL_emulation: Opening libGLESv1_CM_emulation.so
09-15 22:55:13.377  5705  5734 I EGL_emulation: Opening libGLESv2_emulation.so
09-15 22:55:13.390  5705  5734 W HWUI    : Failed to choose config with EGL_SWAP_BEHAVIOR_PRESERVED, retrying without...
09-15 22:55:13.391  5705  5734 W HWUI    : Failed to initialize 101010-2 format, error = EGL_SUCCESS
09-15 22:55:13.452  5705  5705 D CompatChangeReporter: Compat change id reported: 309578419; UID 10219; state: ENABLED
09-15 22:55:13.456  5705  5705 D DesktopModeFlags: Toggle override initialized to: OVERRIDE_UNSET
09-15 22:55:13.488  5705  5726 D LeakCanary: LeakCanary is running and ready to detect memory leaks.
09-15 22:55:13.745  5705  5737 E SQLiteQuery: exception: Row too big to fit into CursorWindow requiredPos=2, totalRows=3; query: SELECT * FROM programs ORDER BY name ASC
09-15 22:55:13.778  5705  5741 E ProgramRepository: loadFromDb failed
09-15 22:55:13.778  5705  5741 E ProgramRepository: android.database.sqlite.SQLiteBlobTooBigException: Row too big to fit into CursorWindow requiredPos=2, totalRows=3
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at android.database.sqlite.SQLiteConnection.nativeExecuteForCursorWindow(Native Method)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at android.database.sqlite.SQLiteConnection.executeForCursorWindow(SQLiteConnection.java:1048)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at android.database.sqlite.SQLiteSession.executeForCursorWindow(SQLiteSession.java:873)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at android.database.sqlite.SQLiteQuery.fillWindow(SQLiteQuery.java:62)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at android.database.sqlite.SQLiteCursor.fillWindow(SQLiteCursor.java:153)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at android.database.sqlite.SQLiteCursor.onMove(SQLiteCursor.java:123)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at android.database.AbstractCursor.moveToPosition(AbstractCursor.java:269)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at android.database.AbstractCursor.moveToNext(AbstractCursor.java:301)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at androidx.room.driver.SupportSQLiteStatement$SupportAndroidSQLiteStatement.step(SupportSQLiteStatement.android.kt:183)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at com.example.kpkn.data.db.ProgramDao_Impl.getAll$lambda$1(ProgramDao_Impl.kt:67)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at com.example.kpkn.data.db.ProgramDao_Impl$$ExternalSyntheticLambda2.invoke(D8$$SyntheticClass:0)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1.invokeSuspend(DBUtil.kt:68)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1.invoke(Unknown Source:8)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$lambda$1$$inlined$internalPerform$1.invoke(Unknown Source:4)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at androidx.room.driver.SupportSQLiteConnectionPool.useConnection(SupportSQLiteConnectionPool.android.kt:42)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at androidx.room.RoomConnectionManager.useConnection(RoomConnectionManager.android.kt:126)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at androidx.room.RoomDatabase.useConnection$room_runtime_release(RoomDatabase.android.kt:593)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at androidx.room.util.DBUtil__DBUtil_androidKt$performSuspending$$inlined$compatCoroutineExecute$DBUtil__DBUtil_androidKt$1.invokeSuspend(DBUtil.android.kt:113)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(ContinuationImpl.kt:34)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at kotlinx.coroutines.DispatchedTask.run(DispatchedTask.kt:101)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1156)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:651)
09-15 22:55:13.778  5705  5741 E ProgramRepository: 	at java.lang.Thread.run(Thread.java:1119)
09-15 22:55:13.981  5705  5705 D CompatChangeReporter: Compat change id reported: 352594277; UID 10219; state: ENABLED
09-15 22:55:14.002  5705  5705 D CompatChangeReporter: Compat change id reported: 349153669; UID 10219; state: ENABLED
09-15 22:55:14.017  5705  5705 I om.example.kpkn: hiddenapi: Accessing hidden field Lcom/android/internal/policy/DecorView;->mWindow:Lcom/android/internal/policy/PhoneWindow; (runtime_flags=0, domain=platform, api=unsupported) from Lcurtains/internal/WindowSpy$windowField$2; (domain=app) using reflection: allowed
09-15 22:55:14.039  5705  5705 W HWUI    : Unknown dataspace 0
09-15 22:55:14.070  5705  5705 D StrictMode: StrictMode policy violation; ~duration=654 ms: android.os.strictmode.DiskReadViolation
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.os.StrictMode$AndroidBlockGuardPolicy.onReadFromDisk(StrictMode.java:1728)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at libcore.io.BlockGuardOs.access(BlockGuardOs.java:74)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at libcore.io.ForwardingOs.access(ForwardingOs.java:128)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.ActivityThread$AndroidOs.access(ActivityThread.java:8944)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at java.io.UnixFileSystem.checkAccess(UnixFileSystem.java:332)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at java.io.File.exists(File.java:829)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.ContextImpl.getDataDir(ContextImpl.java:3347)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.ContextImpl.getPreferencesDir(ContextImpl.java:763)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.ContextImpl.getSharedPreferencesPath(ContextImpl.java:990)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.ContextImpl.getSharedPreferences(ContextImpl.java:605)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at com.example.kpkn.ui.locale.LocaleManager.getSavedLanguage(LocaleManager.kt:86)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at com.example.kpkn.ui.locale.LocaleManager.wrapContext(LocaleManager.kt:97)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at com.example.kpkn.MainActivity.attachBaseContext(MainActivity.kt:143)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.Activity.attach(Activity.java:9042)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:4231)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:4467)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.servertransaction.LaunchActivityItem.execute(LaunchActivityItem.java:222)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.servertransaction.TransactionExecutor.executeNonLifecycleItem(TransactionExecutor.java:133)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.servertransaction.TransactionExecutor.executeTransactionItems(TransactionExecutor.java:103)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.servertransaction.TransactionExecutor.execute(TransactionExecutor.java:80)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:2823)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.os.Handler.dispatchMessage(Handler.java:110)
09-15 22:55:14.070  5705  5705 D StrictMode: 	at android.os.Looper.loopOnce(Looper.java:248)
