index,id,name,type,equipment,movementPattern,variantGroupId,efc,cnc,ssc,ttc,subMuscleGroup,muscles,technicalAspectCount,flagCount,highestSeverity,flagCodes,flagDetails,sample10Percent
1,tren_superior_press_banca_plano_barra,Press de Banca Plano con Barra,Básico,Barra,Empuje Horizontal,vg_bench_press,4.2,4,1.2,2.2,Pectorales,Pectorales:primary:1: | Deltoides:secondary:0.5:anterior | Tríceps:secondary:0.5: | Bíceps:stabilizer:0.4:,2,2,ORANGE,2.4_VARIANT_PRIMARY_DIVERGENCE | 3.2_DEAD_STABILIZER_GATE,2.4_VARIANT_PRIMARY_DIVERGENCE: vg_bench_press contiene 2 conjuntos primary distintos. || 3.2_DEAD_STABILIZER_GATE: Tiene stabilizers pero ssc=1.2<1.5; el gate puede volverlos dato muerto.,
2,tren_superior_press_banca_plano_mancuernas,Press de Banca Plano con Mancuernas,Básico,Mancuerna,Empuje Horizontal,vg_bench_press,3.8,3.5,1,2.2,Pectorales,Pectorales:primary:1: | Deltoides:secondary:0.5:anterior | Tríceps:secondary:0.5: | Bíceps:stabilizer:0.4:,2,2,ORANGE,2.4_VARIANT_PRIMARY_DIVERGENCE | 3.2_DEAD_STABILIZER_GATE,2.4_VARIANT_PRIMARY_DIVERGENCE: vg_bench_press contiene 2 conjuntos primary distintos. || 3.2_DEAD_STABILIZER_GATE: Tiene stabilizers pero ssc=1.0<1.5; el gate puede volverlos dato muerto.,
3,tren_superior_press_banca_inclinado_barra,Press de Banca Inclinado con Barra,Básico,Barra,Empuje Horizontal,vg_bench_press,4,3.8,1.1,2.2,Pectorales,Pectorales:primary:1:superior | Deltoides:secondary:0.5:anterior | Tríceps:secondary:0.5:,2,1,ORANGE,2.4_VARIANT_PRIMARY_DIVERGENCE,2.4_VARIANT_PRIMARY_DIVERGENCE: vg_bench_press contiene 2 conjuntos primary distintos.,
4,tren_superior_press_banca_inclinado_mancuernas,Press de Banca Inclinado con Mancuernas,Básico,Mancuerna,Empuje Horizontal,vg_bench_press,3.6,3.2,1,2.2,Pectorales,Pectorales:primary:1:superior | Deltoides:secondary:0.5:anterior | Tríceps:secondary:0.5:,2,1,ORANGE,2.4_VARIANT_PRIMARY_DIVERGENCE,2.4_VARIANT_PRIMARY_DIVERGENCE: vg_bench_press contiene 2 conjuntos primary distintos.,
5,tren_superior_press_banca_declinado_barra,Press de Banca Declinado con Barra,Básico,Barra,Empuje Horizontal,vg_bench_press,4,3.8,1.1,2.2,Pectorales,Pectorales:primary:1:inferior | Deltoides:secondary:0.5:anterior | Tríceps:secondary:0.5:,2,1,ORANGE,2.4_VARIANT_PRIMARY_DIVERGENCE,2.4_VARIANT_PRIMARY_DIVERGENCE: vg_bench_press contiene 2 conjuntos primary distintos.,
6,tren_superior_press_banca_declinado_mancuernas,Press de Banca Declinado con Mancuernas,Básico,Mancuerna,Empuje Horizontal,vg_bench_press,3.6,3.2,1,2.2,Pectorales,Pectorales:primary:1:inferior | Deltoides:secondary:0.5:anterior | Tríceps:secondary:0.5:,2,1,ORANGE,2.4_VARIANT_PRIMARY_DIVERGENCE,2.4_VARIANT_PRIMARY_DIVERGENCE: vg_bench_press contiene 2 conjuntos primary distintos.,
7,tren_superior_press_pecho_maquina_convergente,Press de Pecho en Máquina Convergente,Accesorio,Máquina,Empuje Horizontal,,3.2,2.8,0.8,2,Pectorales,Pectorales:primary:1: | Deltoides:secondary:0.5:anterior | Tríceps:secondary:0.5:,0,2,BLUE,3.1_IQR_CNC | 3.1_IQR_SSC,"3.1_IQR_CNC: cnc=2.8 es outlier IQR para tipo=Accesorio, equipo=Máquina (1.70–2.50). || 3.1_IQR_SSC: ssc=0.8 es outlier IQR para tipo=Accesorio, equipo=Máquina (0.25–0.65).",
8,tren_superior_press_pecho_maquina_smith,Press de Pecho en Máquina Smith,Básico,Máquina,Empuje Horizontal,,3.8,3.5,1,2.2,Pectorales,Pectorales:primary:1: | Deltoides:secondary:0.5:anterior | Tríceps:secondary:0.5:,0,0,,,,
9,tren_superior_floor_press_barra,Floor Press con Barra,Accesorio,Barra,Empuje Horizontal,,3.5,3.2,1,2,Tríceps,Pectorales:primary:1: | Tríceps:secondary:0.5: | Deltoides:secondary:0.5:anterior,0,2,BLUE,3.1_IQR_CNC | 3.1_IQR_EFC,"3.1_IQR_CNC: cnc=3.2 es outlier IQR para tipo=Accesorio, equipo=Barra (2.20–2.20). || 3.1_IQR_EFC: efc=3.5 es outlier IQR para tipo=Accesorio, equipo=Barra (2.80–2.80).",
10,tren_superior_floor_press_mancuernas,Floor Press con Mancuernas,Accesorio,Mancuerna,Empuje Horizontal,,3.2,2.8,0.9,2,Tríceps,Pectorales:primary:1: | Tríceps:secondary:0.5: | Deltoides:secondary:0.5:anterior,0,2,BLUE,3.1_IQR_CNC | 3.1_IQR_SSC,"3.1_IQR_CNC: cnc=2.8 es outlier IQR para tipo=Accesorio, equipo=Mancuerna (2.08–2.27). || 3.1_IQR_SSC: ssc=0.9 es outlier IQR para tipo=Accesorio, equipo=Mancuerna (0.50–0.50).",
11,tren_superior_flexiones_clasicas,Flexiones de Brazos Clásicas,Básico,Peso Corporal,Empuje Horizontal,,3,2.5,0.8,1.8,Pectorales,Pectorales:primary:1: | Tríceps:secondary:0.5: | Deltoides:secondary:0.5:anterior | Core:stabilizer:0.4:,0,1,YELLOW,3.2_DEAD_STABILIZER_GATE,3.2_DEAD_STABILIZER_GATE: Tiene stabilizers pero ssc=0.8<1.5; el gate puede volverlos dato muerto.,
12,tren_superior_flexiones_lastradas,Flexiones de Brazos Lastradas,Básico,Peso Corporal,Empuje Horizontal,,3.5,3,0.9,1.8,Pectorales,Pectorales:primary:1: | Tríceps:secondary:0.5: | Deltoides:secondary:0.5:anterior | Core:stabilizer:0.4:,0,1,YELLOW,3.2_DEAD_STABILIZER_GATE,3.2_DEAD_STABILIZER_GATE: Tiene stabilizers pero ssc=0.9<1.5; el gate puede volverlos dato muerto.,
13,tren_superior_flexiones_pies_elevados,Flexiones con Pies Elevados,Accesorio,Peso Corporal,Empuje Horizontal,,3.2,2.8,0.8,1.8,Pectorales,Pectorales:primary:1:superior | Tríceps:secondary:0.5: | Deltoides:secondary:0.5:anterior | Core:stabilizer:0.4:,0,4,YELLOW,3.2_DEAD_STABILIZER_GATE | 3.1_IQR_CNC | 3.1_IQR_EFC | 3.1_IQR_SSC,"3.2_DEAD_STABILIZER_GATE: Tiene stabilizers pero ssc=0.8<1.5; el gate puede volverlos dato muerto. || 3.1_IQR_CNC: cnc=2.8 es outlier IQR para tipo=Accesorio, equipo=Peso Corporal (1.98–2.57). || 3.1_IQR_EFC: efc=3.2 es outlier IQR para tipo=Accesorio, equipo=Peso Corporal (2.80–2.80). || 3.1_IQR_SSC: ssc=0.8 es outlier IQR para tipo=Accesorio, equipo=Peso Corporal (0.50–0.50).",
