393]} | PCL[])
W/app_process(20913): ClassLoaderContext classpath size mismatch. expected=0, found=1 (PCL[]{PCL[/system/framework/android.test.runner.jar*895143020]#PCL[/system/framework/android.test.base.jar*2789897741]} | PCL[/system/framework/android.test.runner.jar*895143020])
D/nativeloader(20913): Load libframework-connectivity-tiramisu-jni.so using APEX ns com_android_tethering for caller /apex/com.android.tethering/javalib/framework-connectivity-t.jar: ok
D/AndroidRuntime(20913): Calling main entry com.android.commands.uiautomator.Launcher
I/AconfigPackage(20913): android.media.swcodec.flags is mapped to com.android.media.swcodec
I/AconfigPackage(20913): com.google.android.settings.simplemode.flags is mapped to system_ext
I/AconfigPackage(20913): com.google.android.systemui is mapped to system_ext
I/AconfigPackage(20913): com.google.android.apps.nexuslauncher is mapped to system_ext
I/AconfigPackage(20913): com.android.settings.accessibility is mapped to system_ext
I/AconfigPackage(20913): com.android.settings.flags is mapped to system_ext
I/AconfigPackage(20913): com.google.android.apps.miphone.aiai.matchmaker.overview.ui is mapped to system_ext
I/AconfigPackage(20913): com.google.android.settings.flags is mapped to system_ext
I/AconfigPackage(20913): com.android.launcher3 is mapped to system_ext
I/AconfigPackage(20913): com.android.wallpaper is mapped to system_ext
I/AconfigPackage(20913): com.android.settings.media_drm is mapped to system_ext
I/AconfigPackage(20913): com.android.systemui.accessibility.accessibilitymenu is mapped to system_ext
I/AconfigPackage(20913): com.android.settings.keyboard is mapped to system_ext
I/AconfigPackage(20913): com.android.server.policy.feature.flags is mapped to system_ext
I/AconfigPackage(20913): com.android.settings.factory_reset is mapped to system_ext
I/AconfigPackage(20913): com.google.android.haptics.flags is mapped to system_ext
I/AconfigPackage(20913): com.android.permission.flags is mapped to com.android.permission
I/AconfigPackage(20913): com.android.icu is mapped to com.android.i18n
I/AconfigPackage(20913): com.android.appsearch.flags is mapped to com.android.appsearch
I/AconfigPackage(20913): android.uprobestats.mainline.flags is mapped to com.android.uprobestats
I/AconfigPackage(20913): android.provider.flags is mapped to com.android.configinfrastructure
I/AconfigPackage(20913): com.android.server.deviceconfig is mapped to com.android.configinfrastructure
I/AconfigPackage(20913): com.android.nfc.flags is mapped to system
I/AconfigPackage(20913): android.app.admin.flags is mapped to system
I/AconfigPackage(20913): android.database.sqlite is mapped to system
I/AconfigPackage(20913): com.android.providers.calendar is mapped to system
I/AconfigPackage(20913): com.android.server.power.feature.flags is mapped to system
I/AconfigPackage(20913): com.android.media.performance.flags is mapped to system
I/AconfigPackage(20913): android.app.contextualsearch.flags is mapped to system
I/AconfigPackage(20913): android.app.ondeviceintelligence.flags is mapped to system
I/AconfigPackage(20913): com.android.media.projection.flags is mapped to system
I/AconfigPackage(20913): android.companion is mapped to system
I/AconfigPackage(20913): android.service.controls.flags is mapped to system
I/AconfigPackage(20913): com.android.text.flags is mapped to system
I/AconfigPackage(20913): com.android.providers.contactkeys.flags is mapped to system
I/AconfigPackage(20913): com.android.intentresolver is mapped to system
I/AconfigPackage(20913): android.companion.virtualdevice.flags is mapped to system
I/AconfigPackage(20913): android.uprobestats.flags is mapped to system
I/AconfigPackage(20913): com.android.net.thread.platform.flags is mapped to system
I/AconfigPackage(20913): android.view.contentprotection.flags is mapped to system
I/AconfigPackage(20913): com.android.server.dreams is mapped to system
I/AconfigPackage(20913): com.android.graphics.surfaceflinger.flags is mapped to system
I/AconfigPackage(20913): com.android.hardware.input is mapped to system
I/AconfigPackage(20913): android.sdk is mapped to system
I/AconfigPackage(20913): com.android.input.flags is mapped to system
I/AconfigPackage(20913): android.tracing is mapped to system
I/AconfigPackage(20913): com.android.server.biometrics is mapped to system
I/AconfigPackage(20913): android.view.contentcapture.flags is mapped to system
I/AconfigPackage(20913): android.app.job is mapped to system
I/AconfigPackage(20913): android.content.res is mapped to system
I/AconfigPackage(20913): android.net.platform.flags is mapped to system
I/AconfigPackage(20913): com.android.aconfig.flags is mapped to system
I/AconfigPackage(20913): com.android.graphics.flags is mapped to system
I/AconfigPackage(20913): android.server.app is mapped to system
I/AconfigPackage(20913): android.speech.flags is mapped to system
I/AconfigPackage(20913): com.android.server.stats is mapped to system
I/AconfigPackage(20913): android.hardware.biometrics is mapped to system
I/AconfigPackage(20913): android.car.feature is mapped to system
I/AconfigPackage(20913): android.adpf is mapped to system
I/AconfigPackage(20913): android.location.flags is mapped to system
I/AconfigPackage(20913): com.android.settingslib.flags is mapped to system
I/AconfigPackage(20913): com.android.managedprovisioning.flags is mapped to system
I/AconfigPackage(20913): android.app.assist.flags is mapped to system
I/AconfigPackage(20913): com.android.server.net is mapped to system
I/AconfigPackage(20913): com.android.settingslib.widget.flags is mapped to system
I/AconfigPackage(20913): com.android.internal.camera.flags is mapped to system
